elevation (m),elev (ft), 2d_area (m2)
471,1545.3,11824152
470,1542,11047957
469,1538.7,10750052.5
468,1535.4,10549647.4
467,1532.1,10392555.1
466,1528.9,10245954.3
465,1525.6,10103590.2
464,1522.3,9962580.5
463,1519,9785023.2
462,1515.7,9628472.9
461,1512.4,9474124.9
460,1509.2,9321650.9
459,1505.9,9159198.1
458,1502.6,8939366.8
457,1499.3,8796908.3
456,1496,8692717.7
455,1492.8,8595332.3
454,1489.5,8498339.7
453,1486.2,8400733.9
452,1482.9,8300261.2
451,1479.6,8186801.7
450,1476.4,8076250.7
449,1473.1,7960386.1
448,1469.8,7845000.3
447,1466.5,7732750.2
446,1463.2,7622900.1
445,1460,7516259.1
444,1456.7,7410173.9
443,1453.4,7295599.5
442,1450.1,7172737.4
441,1446.8,7031420.2
440,1443.6,6874868.7
439,1440.3,6718317.2
438,1437,6561765.7
437,1433.7,6405214.2
436,1430.4,6248662.7
435,1427.1,6092111.2
434,1423.9,5935559.7
433,1420.6,5779008.3
432,1417.3,5622456.8
431,1414,5465905.3
430,1410.7,5309353.8
429,1407.5,5152802.3
428,1404.2,4996250.8
427,1400.9,4839699.3
426,1397.6,4683147.8
425,1394.3,4526596.3
424,1391.1,4370044.8
423,1387.8,4213493.3
422,1384.5,4056941.8
421,1381.2,3900390.4
420,1377.9,3743838.9
419,1374.7,3587287.4
418,1371.4,3430735.9
417,1368.1,3274184.4
416,1364.8,3117632.9
415,1361.5,2961081.4
414,1358.3,2804529.9
413,1355,2647978.4
412,1351.7,2491426.9
411,1348.4,2334875.4
410,1345.1,2178323.9
409,1341.8,2021772.4
408,1338.6,1865221
407,1335.3,1708669.5
406,1332,1552118
405,1328.7,1395566.5
404,1325.4,1239015
403,1322.2,1082463.5
402,1318.9,925912
401,1315.6,769360.5
400,1312.3,612809
399,1309,456257.5
398,1305.8,299706
397,1302.5,143154.5
396,1299.2,134734
395,1295.9,126314
394,1292.6,117894
393,1289.4,109474
392,1286.1,101054
391,1282.8,92634
390,1279.5,84214
389,1276.2,75794
388,1273,67374
387,1269.7,58954
386,1266.4,50534
385,1263.1,42114
384,1259.8,33694
383,1256.5,25274
382,1253.3,16854
381,1250,8434
380,1246.7,14
379,1246.7,14
