elevation (m),elev (ft), 2d_area (m2)
284,931.7,17400404.4
283,928.5,17166452.4
282,925.2,16909609.7
281,921.9,16656200.9
280,918.6,16428387.1
279,915.3,16198459.9
278,912.1,15962451.2
277,908.8,15710603.9
276,905.5,15438675.4
275,902.2,15158432.8
274,898.9,14900078
273,895.7,14645972.9
272,892.4,14406027
271,889.1,14180343.4
270,885.8,13818572.5
269,882.5,13439550
268,879.3,13077389.3
267,876,12768288
266,872.7,12460430.5
265,869.4,12182404
264,866.1,11886849.2
263,862.9,11553022.2
262,859.6,11192838.5
261,856.3,10892781
260,853,10575345.2
259,849.7,10289234.1
258,846.4,10017037.5
257,843.2,9693452.9
256,839.9,9408823.3
255,836.6,9132615.7
254,833.3,8858337.4
253,830,8487078.9
252,826.8,7808404
251,823.5,7401582.9
250,820.2,7177361.1
249,816.9,6953139.3
248,813.6,6728917.5
247,810.4,6504695.7
246,807.1,6280473.9
245,803.8,6056252.1
244,800.5,5832030.2
243,797.2,5607808.4
242,794,5383586.6
241,790.7,5159364.8
240,787.4,4935143
239,784.1,4710921.2
238,780.8,4486699.4
237,777.5,4262477.6
236,774.3,4038255.8
235,771,3814034
234,767.7,3589812.2
233,764.4,3365590.4
232,761.1,3141368.6
231,757.9,2917146.8
230,754.6,2692925
229,751.3,2468703.2
228,748,2244481.4
227,744.7,2020259.6
226,741.5,1796037.8
225,738.2,1571816
224,734.9,1347594.2
223,731.6,1123372.4
222,728.3,899150.6
221,725.1,674928.8
220,721.8,450707
219,718.5,226485.2
218,715.2,2263.4
217,711.9,0
216,708.7,0
215,705.4,0
214,702.1,0
